query_name,game_key,app_id,game_title,mature,early_access,release_date,tags,history_rows,latest_prices_rows,status,error
"""217"" A Psychological Survival Thriller",3909430,3909430,"""217"" A Psychological Survival Thriller",False,False,,"Survival Horror, Psychological Horror, Cinematic, Story Rich, Realistic",0,0,ok,
"""BUTTS: The VR Experience""",439260,439260,"""BUTTS: The VR Experience""",False,False,2016-02-04,"Psychological Horror, Casual, VR, Nudity, Memes",7,0,ok,
"""Buy The Game, I Have a Gun"" -Sheesh-Man","""Buy The Game, I Have a Gun"" -Sheesh-Man",no_search_result,No game matched this search term
"""Glow Ball"" - The billiard puzzle game",388390,388390,"""Glow Ball"" - The billiard puzzle game",False,False,2015-07-21,"Pool, Logic, Atmospheric, Beautiful, Puzzle",251,0,ok,
"""Going Up?""",1102740,1102740,"""Going Up?""",False,False,2020-04-20,"RPG, Casual, Indie, Strategy",3,0,ok,
"""I Know This Place..?""  chapter I (prologue)",2707160,2707160,I Know This Place..? (chapter II),False,False,2025-06-25,"Adventure, Detective, Atmospheric, 1980s, Philosophical",19,0,ok,
"""LIFE"" not found;",1908870,1908870,"""LIFE"" not found;",False,False,2022-06-24,"Point & Click, Text-Based, Indie, Story Rich, Atmospheric",1,0,ok,
"""Otherworldly: Beginning of the Rift"" Pre-Alpha",3165610,3165610,"""Otherworldly: Beginning of the Rift"" Pre-Alpha",False,True,2024-09-16,"Choose Your Own Adventure, Exploration, 3D Platformer, FPS, Sandbox",1,0,ok,
"""Ta""",749870,749870,MyTD 我的塔防,False,False,2017-12-02,"Strategy, Indie, Casual, Tower Defense",7,0,ok,
"""Zieh eine Karte""-Simulator",1377600,1377600,"""Zieh eine Karte""-Simulator",False,False,2020-08-26,"Simulation, 3D, Point & Click, 1980s, Logic",23,0,ok,
#7-J5Z: The Driftwood Experiment,3342050,3342050,#7-J5Z: The Driftwood Experiment,False,False,2025-04-30,"Adventure, Casual, Collectathon, Exploration, Underwater",1,0,ok,
#AkiRobots,1327730,1327730,#AkiRobots Soundtrack,False,False,2020-12-04,,1,0,ok,
#Archery,263420,263420,Probably Archery,False,False,2014-02-06,"Intentionally Awkward Controls, Indie, Sports, Casual, Archery",290,0,ok,
#BLUD,1921480,1921480,#BLUD,False,False,2024-06-18,"Adventure, Action RPG, Action-Adventure, Dungeon Crawler, Cartoony",206,0,ok,
#CuteSnake,1884440,1884440,Cute Snake,False,False,2022-03-15,"Casual, Adventure, Simulation, Design & Illustration, Action-Adventure",1,0,ok,
#CuteSnake 2,620,620,Portal 2,False,False,2011-04-19,"Singleplayer, Platformer, Puzzle, First-Person, Dark Humor",258,0,ok,
#DRIVE Rally,2494780,2494780,#DRIVE Rally,False,False,2024-09-25,"Racing, Driving, Arcade, Sports, Automobile Sim",105,0,ok,
#Funtime,55385,55385,Saints Row: The Third - FUNTIME! Pack,False,False,2012-02-13,Action,316,0,ok,
#INNER UNIVERSE 1F0000,2164050,2164050,#INNER UNIVERSE 1F0000,False,False,2025-12-31,"Action, Shooter, Bullet Time, 2D Platformer, 2D",0,0,ok,
#KILLALLZOMBIES,303720,303720,#KILLALLZOMBIES,False,False,2016-08-10,"Action, Indie, Twin Stick Shooter, Co-op, Shooter",177,0,ok,
#Oyster Sooource 2120bb,3949890,3949890,#Oyster Sooource 2120bb,False,False,2025-11-28,"Action, Action RPG, Idler, 2D, Gambling",0,0,ok,
#SelfieTennis,392190,392190,#SelfieTennis,False,False,,"Tennis, Sports, Indie, VR, Memes",66,0,ok,
#SkiJump,VRUNICORNS BOOTCAMP BUNDLE: #SkiJump + #Archery + #SelfieTennis,,VRUNICORNS BOOTCAMP BUNDLE: #SkiJump + #Archery + #SelfieTennis,False,True,,,101,0,ok,
#Snake2 DX: Reawakening,1530070,1530070,#Snake2 DX: Reawakening,False,False,2021-03-01,"Action, Bullet Hell, Arcade, Shoot 'Em Up, Shooter",3,0,ok,
#Utopia,553280,553280,Stellaris: Utopia,False,False,2017-04-06,"Strategy, Simulation, Grand Strategy, Space, Sci-fi",4300,0,ok,
#from #abandoned,3892020,3892020,#from #abandoned,False,False,2026-12-31,"Action, Survival Horror, Realistic, Stealth, Singleplayer",0,0,ok,
#monstercakes,614910,614910,monstercakes,False,False,2017-05-05,"Casual, Indie, Puzzle, Match 3, Singleplayer",72,0,ok,
$1 Ride,508290,508290,$1 Ride,False,False,2016-07-28,"Casual, Action, Indie, Arcade",139,0,ok,
'1st Core: The Zombie Killing Cyborg',879270,879270,1st Core,False,False,2018-06-30,"Zombies, Survival, Action, FPS, Singleplayer",25,0,ok,
'83,837470,837470,Untitled Goose Game,False,False,2019-09-20,"Funny, Villain Protagonist, Co-op, Multiplayer, Cute",155,0,ok,
'Golden Castle',3391910,3391910,'Golden Castle',False,False,2025-03-28,"RPG, JRPG, Tactical RPG, 2D, Pixel Graphics",7,0,ok,
'Member the Alamo?,1364510,1364510,'Member the Alamo?,False,False,2020-10-30,"Action, Shooter, FPS, Anime, Comedy",4,0,ok,
'Member the Alamo? VR EDITION,1364510,1364510,'Member the Alamo?,False,False,2020-10-30,"Action, Shooter, FPS, Anime, Comedy",4,0,ok,
'My' parkour(‘我’的跑酷),278360,278360,A Story About My Uncle,False,False,2014-05-28,"Adventure, First-Person, Parkour, Singleplayer, Indie",1065,0,ok,
'Sassin,2582450,2582450,'Sassin,False,False,,"VR, Action, Asymmetric VR, Parkour, Adventure",0,0,ok,
'n Verlore Verstand,439550,439550,'n Verlore Verstand,False,False,2016-02-01,"Adventure, Indie, Casual, Platformer, VR",236,0,ok,
(BURIED TAPES) The Cleaner,3949740,3949740,(BURIED TAPES) The Cleaner,False,False,2025-09-02,"Simulation, Walking Simulator, FPS, 3D, Psychological Horror",1,0,ok,
(BURIED TAPES) The Parking,3949750,3949750,(BURIED TAPES) The Parking,False,False,2025-10-10,"Simulation, Casual, Free to Play, Walking Simulator, FPS",1,0,ok,
(Dis)assemble,487740,487740,"Tower Island: Explore, Discover and Disassemble",False,False,2016-07-26,"Adventure, Indie, Strategy, VR",6,0,ok,
(Neg)Entropic Wandering,3084790,3084790,(Neg)Entropic Wandering,False,False,2024-07-19,"Visual Novel, Philosophical, Dark, Space, Casual",1,0,ok,
(Old steam page),1737960,1737960,(Old steam page),False,False,,"Cyberpunk, Open World, Third-Person Shooter, Exploration, Immersive Sim",0,0,ok,
(RPG) The Legends of Power Volume 1,3794320,3794320,(RPG) The Legends of Power Volume 1,False,False,2025-06-30,"Action, Adventure, Action-Adventure, Interactive Fiction, Choose Your Own Adventure",11,0,ok,
(SHO.E) Sissified Husband of Evelyn,4007480,4007480,(SHO.E) Sissified Husband of Evelyn,True,False,,"Simulation, LGBTQ+, Visual Novel, Adventure, Dating Sim",0,0,ok,
(The Ballad of) Igooli and Hakmon,4597340,4597340,(The Ballad of) Igooli and Hakmon,False,False,,"Hand-drawn, Casual, Arcade, Bullet Hell, Difficult",0,0,ok,
(The Lingering) Graveyard Visit,3731150,3731150,(The Lingering) Graveyard Visit,False,False,2025-06-19,"Exploration, Puzzle, Walking Simulator, 3D, First-Person",4,0,ok,
(The Lingering) Last Customer,3518780,3518780,(The Lingering) Last Customer,False,False,2025-03-24,"Horror, Atmospheric, Psychological Horror, Narrative, Exploration",6,0,ok,
(TwwwT) The Witches Who Weave Timelines,4466880,4466880,(TwwwT) The Witches Who Weave Timelines,False,True,2026-12-31,"Action Roguelike, Bullet Hell, Action, Twin Stick Shooter, Roguelite",0,0,ok,
